Feature ID	Taxon	Confidence
original1	d__Eukaryota; p__Archamoebae; c__Entamoebida; o__Entamoebida; f__Entamoebida; g__Entamoeba; s__Entamoeba_sp.	0.9553330049698864
original2	d__Eukaryota; p__Vertebrata; c__Mammalia; o__Mammalia; f__Mammalia	0.9999996419344763
original3	d__Eukaryota; p__Apicomplexa; c__Conoidasida; o__Gregarinasina; f__Eugregarinorida; g__Gregarina	0.7031986227342605
original4	d__Eukaryota; p__Chlorophyta; c__Trebouxiophyceae; o__Trebouxiophyceae; f__Trebouxiophyceae; g__Asterochloris; s__Asterochloris_erici	0.999999769173824
original5	d__Eukaryota; p__Phragmoplastophyta; c__Embryophyta; o__Magnoliophyta; f__Magnoliophyta; g__Populus	0.9994761316429783
original6	d__Eukaryota; p__Phragmoplastophyta; c__Embryophyta; o__Magnoliophyta; f__Magnoliophyta; g__Linum; s__Linum_usitatissimum	0.9983261000842453
original7	d__Eukaryota; p__Phragmoplastophyta; c__Embryophyta; o__Magnoliophyta; f__Magnoliophyta	0.9981711780060132
original8	d__Eukaryota; p__Archamoebae; c__Entamoebida; o__Entamoebida; f__Entamoebida; g__Entamoeba; s__Entamoeba_sp.	0.9555257839550629
original9	d__Eukaryota; p__Phragmoplastophyta; c__Embryophyta; o__Magnoliophyta; f__Magnoliophyta; g__Betula; s__Betula_pendula	0.8179556606220011
original10	d__Eukaryota; p__Chlorophyta; c__Trebouxiophyceae; o__Trebouxiophyceae; f__Trebouxiophyceae; g__Trebouxiophyceae; s__uncultured_Trebouxia	0.995293102951391
original11	d__Eukaryota; p__Chlorophyta; c__Chlorophyceae; o__Chlorophyceae; f__Chlorophyceae; g__Chlorophyceae; s__uncultured_Chloromonas	0.8246946523927351
original12	d__Eukaryota; p__Archamoebae; c__Entamoebida; o__Entamoebida; f__Entamoebida; g__Entamoeba; s__Entamoeba_sp.	0.9910690014528554
original13	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Saccharomyces; s__Saccharomyces_cerevisiae	0.7634338232412385
original14	d__Eukaryota; p__Parabasalia; c__Trichomonadea; o__Trichomonadea; f__Trichomonadea; g__Simplicimonas; s__Simplicimonas_similis	0.9999974117970921
original15	d__Eukaryota; p__Archamoebae; c__Entamoebida; o__Entamoebida; f__Entamoebida; g__Entamoeba; s__Entamoeba_sp.	0.9684618136392255
original16	d__Eukaryota	0.9999999999999949
original17	d__Eukaryota; p__Parabasalia; c__Trichomonadea; o__Trichomonadea; f__Trichomonadea; g__Simplicimonas; s__Simplicimonas_similis	0.9954071194691269
original18	d__Eukaryota; p__Archamoebae; c__Entamoebida; o__Entamoebida; f__Entamoebida; g__Entamoeba; s__Entamoeba_sp.	0.7704800468642479
original19	d__Eukaryota; p__Chlorophyta; c__Trebouxiophyceae; o__Trebouxiophyceae; f__Trebouxiophyceae; g__Chloroidium; s__Chloroidium_saccharophilum	0.8243440909660087
original20	d__Eukaryota; p__Cercozoa	0.82337094841037
original21	d__Eukaryota; p__Incertae_Sedis; c__Incertae_Sedis; o__Incertae_Sedis; f__Incertae_Sedis; g__Blastocystis; s__Blastocystis_sp.	0.9999970771996028
original22	d__Eukaryota; p__Archamoebae; c__Entamoebida; o__Entamoebida; f__Entamoebida; g__Entamoeba; s__Entamoeba_sp.	0.9351878262237968
original23	d__Eukaryota	0.9999999820363028
original24	d__Eukaryota; p__Basidiomycota; c__Tremellomycetes; o__Cystofilobasidiales; f__Mrakiaceae; g__Tausonia; s__Tausonia_pullulans	0.9993493683839998
original25	d__Eukaryota; p__Phragmoplastophyta; c__Embryophyta; o__Magnoliophyta; f__Magnoliophyta	0.9999486437402594
original26	d__Eukaryota; p__Archamoebae; c__Entamoebida; o__Entamoebida; f__Entamoebida; g__Entamoeba; s__Entamoeba_sp.	0.9553305924831434
original27	d__Eukaryota; p__Archamoebae; c__Entamoebida; o__Entamoebida; f__Entamoebida; g__Entamoeba; s__Entamoeba_sp.	0.9459190182650372
original28	d__Eukaryota; p__Phragmoplastophyta; c__Embryophyta; o__Magnoliophyta; f__Magnoliophyta	0.9999984952366991
original29	d__Eukaryota	0.9999993822568628
original30	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Debaryomycetaceae; g__Meyerozyma-Candida_clade	0.9920207491817365
original31	d__Eukaryota; p__Arthropoda; c__Arachnida; o__Acari; f__Acari	0.9999999999759815
original32	d__Eukaryota; p__Apicomplexa; c__Conoidasida; o__Gregarinasina; f__Eugregarinorida; g__Heterocapsaceae; s__Heterocapsaceae_environmental	0.9780010690919947
original33	d__Eukaryota; p__Phragmoplastophyta; c__Embryophyta; o__Equisetales; f__Equisetaceae; g__Equisetum; s__Equisetum_robustum	0.9974148720949907
original34	d__Eukaryota; p__Archamoebae; c__Entamoebida; o__Entamoebida; f__Entamoebida; g__Entamoeba	0.9999411767552004
original35	d__Eukaryota; p__Incertae_Sedis; c__Incertae_Sedis; o__Incertae_Sedis; f__Incertae_Sedis; g__Blastocystis; s__Blastocystis_sp.	0.9996175172683425
original36	d__Eukaryota; p__Archamoebae; c__Entamoebida; o__Entamoebida; f__Entamoebida; g__Entamoeba; s__Entamoeba_sp.	0.8610884809299618
original37	d__Eukaryota; p__Arthropoda; c__Arachnida; o__Acari; f__Acari	0.9999999988884979
original38	d__Eukaryota; p__Arthropoda; c__Arachnida; o__Acari; f__Acari	0.9999999999350605
original39	d__Eukaryota; p__Incertae_Sedis; c__Incertae_Sedis; o__Incertae_Sedis; f__Incertae_Sedis; g__Blastocystis; s__Blastocystis_sp.	0.9935876972470016
original40	d__Eukaryota; p__Phragmoplastophyta; c__Embryophyta; o__Magnoliophyta; f__Magnoliophyta	0.998538865803639
original41	d__Eukaryota; p__Phragmoplastophyta; c__Embryophyta; o__Magnoliophyta; f__Magnoliophyta	0.9995378250655346
original42	d__Eukaryota; p__Phragmoplastophyta; c__Embryophyta; o__Magnoliophyta; f__Magnoliophyta; g__Populus	0.9977461454245997
original43	d__Eukaryota; p__Archamoebae; c__Entamoebida; o__Entamoebida; f__Entamoebida; g__Entamoeba	0.9999753487053087
original44	d__Eukaryota; p__Neocallimastigomycota; c__Neocallimastigomycetes; o__Neocallimastigales; f__Neocallimastigaceae; g__Orpinomyces; s__Orpinomyces_sp.	0.9019224936912877
original45	d__Eukaryota; p__Nematozoa; c__Chromadorea; o__Rhabditida; f__Rhabditida; g__Parelaphostrongylus; s__Parelaphostrongylus_odocoilei	0.9572072226358401
original46	d__Eukaryota; p__Incertae_Sedis; c__Incertae_Sedis; o__Incertae_Sedis; f__Incertae_Sedis; g__Blastocystis; s__Blastocystis_sp.	0.9935693585700609
original47	d__Eukaryota; p__Archamoebae; c__Entamoebida; o__Entamoebida; f__Entamoebida; g__Entamoeba; s__Entamoeba_sp.	0.767646440785273
original48	d__Eukaryota; p__Archamoebae; c__Entamoebida; o__Entamoebida; f__Entamoebida; g__Entamoeba	0.9999776243348946
original49	d__Eukaryota; p__Chlorophyta; c__Chlorophyceae; o__Chlorophyceae; f__Chlorophyceae	0.999999306371528
original50	d__Eukaryota; p__Chlorophyta; c__Trebouxiophyceae; o__Trebouxiophyceae; f__Trebouxiophyceae; g__Chloroidium; s__Chloroidium_saccharophilum	0.7915920737950735
original51	d__Eukaryota; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Bulleribasidiaceae; g__Derxomyces; s__uncultured_eukaryote	0.7112522799710868
original52	d__Eukaryota; p__Archamoebae; c__Entamoebida; o__Entamoebida; f__Entamoebida; g__Entamoeba; s__Entamoeba_sp.	0.9088507075491519
original53	d__Eukaryota; p__Archamoebae; c__Entamoebida; o__Entamoebida; f__Entamoebida; g__Entamoeba; s__Entamoeba_sp.	0.9886757978841655
original54	d__Eukaryota	0.9998099239800231
original55	d__Eukaryota; p__Incertae_Sedis; c__Incertae_Sedis; o__Incertae_Sedis; f__Incertae_Sedis; g__Blastocystis; s__Blastocystis_sp.	0.9940841003923806
original56	d__Eukaryota; p__Archamoebae; c__Entamoebida; o__Entamoebida; f__Entamoebida; g__Entamoeba	0.9999741780293876
original57	d__Eukaryota; p__Archamoebae; c__Entamoebida; o__Entamoebida; f__Entamoebida; g__Entamoeba; s__Entamoeba_sp.	0.9436043250288897
original58	d__Eukaryota; p__Parabasalia; c__Trichomonadea; o__Trichomonadea; f__Trichomonadea; g__Hexamastix	0.9999999998053554
original59	d__Eukaryota; p__Apicomplexa; c__Conoidasida; o__Gregarinasina; f__Gregarinasina; g__Stenophora; s__Stenophora_robusta	0.9999778212907882
original60	d__Eukaryota; p__Incertae_Sedis; c__Incertae_Sedis; o__Incertae_Sedis; f__Incertae_Sedis; g__Blastocystis; s__Blastocystis_sp.	0.9999266247861723
original61	d__Eukaryota; p__Chlorophyta; c__Trebouxiophyceae; o__Trebouxiophyceae; f__Trebouxiophyceae; g__Trebouxiophyceae; s__uncultured_Coccomyxa	0.9027243986693883
original62	d__Eukaryota; p__Phragmoplastophyta; c__Embryophyta; o__Polytrichales; f__Polytrichales; g__Polytrichum; s__Polytrichum_formosum	0.999346793605626
original63	d__Eukaryota; p__Phragmoplastophyta; c__Embryophyta; o__Magnoliophyta; f__Magnoliophyta	0.9999981205687758
original64	d__Eukaryota; p__Basidiomycota; c__Tremellomycetes	0.9999999998333425
original65	d__Eukaryota; p__Phragmoplastophyta; c__Embryophyta; o__Magnoliophyta; f__Magnoliophyta; g__Rhynchospora; s__Rhynchospora_nervosa	0.947081576228752
original66	d__Eukaryota; p__Parabasalia; c__Trichomonadea; o__Trichomonadea; f__Trichomonadea; g__Simplicimonas; s__Simplicimonas_similis	0.9332750304669734
original67	d__Eukaryota; p__Chlorophyta; c__Chlorophyceae; o__Chlorophyceae; f__Chlorophyceae; g__Coelastrella; s__Coelastrella_sp.	0.7481158769796278
original68	d__Eukaryota; p__Nematozoa; c__Chromadorea; o__Rhabditida; f__Rhabditida	1.0000000000000038
original69	d__Eukaryota; p__Apicomplexa; c__Conoidasida; o__Gregarinasina; f__Eugregarinorida; g__Paraschneideria; s__uncultured_alveolate	0.9998349323097122
original70	d__Eukaryota; p__Archamoebae; c__Entamoebida; o__Entamoebida; f__Entamoebida; g__Entamoeba; s__Entamoeba_sp.	0.9356031137314648
original71	d__Eukaryota	0.9999998613508209
original72	d__Eukaryota; p__Arthropoda; c__Arachnida; o__Acari; f__Acari; g__Naiacus; s__Naiacus_sp.	0.8805048536629395
original73	d__Eukaryota; p__Chlorophyta; c__Trebouxiophyceae; o__Trebouxiophyceae; f__Trebouxiophyceae; g__Dictyochloropsis; s__Dictyochloropsis_splendida	0.777776306008934
original74	d__Eukaryota; p__Phragmoplastophyta; c__Embryophyta; o__Monilophyta; f__Monilophyta; g__Amauropelta; s__Amauropelta_navarrensis	0.829034228163243
original75	d__Eukaryota; p__Vertebrata; c__Mammalia; o__Mammalia; f__Mammalia	0.9999994466676507
