Kingdom,Phylum,Class,Order,Family,Genus
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Andreiomycetaceae,Andreiomyces
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Arthoniaceae,Amazonomyces
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Arthoniaceae,Arthonia
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Arthoniaceae,Arthothelium
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Arthoniaceae,Coniangium
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Arthoniaceae,Coniarthonia
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Arthoniaceae,Coniocarpon
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Arthoniaceae,Crypthonia
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Arthoniaceae,Cryptophaea
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Arthoniaceae,Cryptothecia
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Arthoniaceae,Eremothecella
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Arthoniaceae,Glomerulophoron
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Arthoniaceae,Herpothallon
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Arthoniaceae,Inoderma
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Arthoniaceae,Leprantha
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Arthoniaceae,Myriostigma
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Arthoniaceae,Pachnolepia
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Arthoniaceae,Reichlingia
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Arthoniaceae,Sporodophoron
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Arthoniaceae,Stirtonia
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Arthoniaceae,Tylophoron
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Chrysotrichaceae,Chrysothrix
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Chrysotrichaceae,Melarthonis
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Lecanographaceae,Alyxoria
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Lecanographaceae,Heterocyphelium
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Lecanographaceae,Lecanographa
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Lecanographaceae,Plectocarpon
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Lecanographaceae,Zwackhia
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Opegraphaceae,Combea
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Opegraphaceae,Cresponea
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Opegraphaceae,Dictyographa
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Opegraphaceae,Dolichocarpus
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Opegraphaceae,Fouragea
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Opegraphaceae,Ingaderia
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Opegraphaceae,Llimonaea
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Opegraphaceae,Nyungwea
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Opegraphaceae,Opegrapha
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Opegraphaceae,Paraingaderia
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Opegraphaceae,Paraschismatomma
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Opegraphaceae,Pentagenella
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Opegraphaceae,Schizopelte
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Opegraphaceae,Sclerophyton
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Opegraphaceae,Sparria
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Ancistrosporella
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Austrographa
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Austroroccella
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Chiodecton
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Crocellina
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Dendrographa
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Dichosporidium
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Dirina
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Dirinastrum
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Diromma
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Enterodictyon
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Enterographa
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Erythrodecton
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Feigeana
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Follmanniella
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Gorgadesia
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Graphidastra
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Gyrographa
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Gyronactis
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Halographis
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Haplodina
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Isalonactis
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Lecanactis
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Mazosia
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Neosergipea
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Ocellomma
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Pseudolecanactis
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Pseudoschismatomma
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Psoronactis
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Pulvinodecton
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Roccella
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Roccellina
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Sagenidiopsis
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Schismatomma
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Sigridea
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Simonyella
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Sipmania
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Streimannia
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Syncesia
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Tania
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Vigneronia
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellographaceae,Dimidiographa
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellographaceae,Fulvophyton
Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellographaceae,Roccellographa
